"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000185198.7",306.406536068096,-5.34907472144107,0.229436755784795,-23.3139398399546,3.20157063435396e-120,1.30928231091905e-115
"ENSG00000077279.12",286.887963774921,4.85674533627161,0.220311920114866,22.0448595506743,1.07011980507226e-107,2.1881274714215e-103
"ENSG00000204472.8",521.03639528426,-5.03179351370974,0.23377153662305,-21.5244062061472,9.19911786256998e-103,1.25399308329933e-98
"ENSG00000147443.8",264.927612020929,-4.5386657320796,0.228355502315325,-19.8754384547843,6.64038281762182e-88,6.78896138316611e-84
"ENSG00000005381.6",1277.06111605408,-4.42139450479915,0.225451987995685,-19.6112464747207,1.23956535177255e-85,1.01384050121477e-81
"ENSG00000196415.5",275.956146735341,-4.11004480534499,0.210410912390525,-19.53342038514,5.70849155549727e-85,3.89081270270101e-81
"ENSG00000100448.3",328.990615479167,-4.92618834958136,0.256515522286988,-19.2042505095265,3.4101029701521e-82,1.80517144605164e-78
"ENSG00000172232.5",231.560462429232,-3.84260988532001,0.200110538864608,-19.2024363490414,3.53132939684879e-82,1.80517144605164e-78
"ENSG00000169385.2",127.707848050167,-5.70566469948926,0.297793018864181,-19.1598336363,8.01289360909243e-82,3.64096982382039e-78
"ENSG00000111262.4",71.9636034672803,4.79226782209341,0.252971547227882,18.9439005082118,4.95840186308854e-80,2.02773844191006e-76
"ENSG00000196361.5",839.408897985722,3.91133058390264,0.206546820232801,18.9367746232749,5.67700786196386e-80,2.11055669559102e-76
"ENSG00000186818.8",149.990655350304,-4.38151982680816,0.231793611469176,-18.9026772525645,1.08409377400892e-79,3.69450124067458e-76
"ENSG00000133561.11",171.952765319312,-4.32438042911288,0.229389731086037,-18.8516739988284,2.84689429367298e-79,8.95567247228897e-76
"ENSG00000204482.6",190.940202453619,-3.85513503362895,0.205368136025263,-18.7718265756413,1.28394102278264e-78,3.75048343762115e-75
"ENSG00000197561.2",130.670840016616,-3.98060238328517,0.213500719884274,-18.6444447842743,1.40101303905939e-77,3.81962854882225e-74
"ENSG00000149516.9",107.210907176642,-4.98271906492518,0.268546102431421,-18.5544270418061,7.51038734080628e-77,1.9196080643892e-73
"ENSG00000121807.5",100.931508291408,-4.67480674114024,0.253422843213616,-18.4466667718653,5.54622242047066e-76,1.33419274050087e-72
"ENSG00000186847.5",3870.21877881681,-4.13809844431602,0.224904944163574,-18.399321809957,1.33019145304053e-75,3.02212108178292e-72
"ENSG00000100427.11",1110.32949726483,-4.04321454855062,0.2238328586773,-18.0635433619678,6.17299234746983e-73,1.32865537920936e-69
"ENSG00000110484.6",227.579024008469,4.40835278771151,0.246224966680128,17.9037603178495,1.10222074143177e-71,2.25376586104262e-68
"ENSG00000084674.9",440.361065636098,-4.10823837715348,0.230621838846143,-17.8137439095447,5.5285030006339e-71,1.07661014386154e-67
"ENSG00000196565.8",503.147722349636,-4.19720169541762,0.238138179534291,-17.6250683683976,1.58177354858615e-69,2.94030133042867e-66
