"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RPS4Y1",10.0342851804165,4.6538691649209,26.2838617561527,5.34203938648592e-41,9.31437987427685e-37,71.958679692691
"DDX3Y",8.71012493244601,3.79847108441083,25.1832399755642,1.12232109050911e-39,9.7843952670584e-36,69.8258908870818
"HY",8.10979501192351,3.48266820953032,21.5659350571252,5.4156421787567e-35,3.1475712342934e-31,61.8892544226885
"PRKY",4.75605022319131,2.24361505844418,21.4702255514901,7.33122204379259e-35,3.19567968888919e-31,61.6582132093935
"XIST",-9.48987248571196,7.84422225257869,-19.9258439669565,1.11282422316262e-32,3.88064063101269e-29,57.7660247634833
"ZFY",6.184331246531,2.67640968494082,19.6819534752831,2.51959008893102e-32,7.32192879843355e-29,57.1222423414393
"EIF1AY",7.15005917290689,2.89543922898099,19.1113785769241,1.75033436886222e-31,4.3598328650688e-28,55.5839536224552
"USP9Y",6.96946848978535,2.90300597889008,18.8620319874554,4.1316810815671e-31,9.00499891727549e-28,54.8973291339709
"TSIX",-8.29854999454129,6.8476633306052,-17.559894105229,4.13200348344136e-29,8.00506808192039e-26,51.1653808619852
"UTY",6.46703567044904,2.61357575702024,16.6770311315846,1.05519490436923e-27,1.83983783525819e-24,48.491231745625
"CYorf15B",5.85655884316433,2.43279751343251,15.7715801652645,3.24039866632419e-26,5.13632646782077e-23,45.6241338960125
"TTTY15",5.57382472105774,2.26262790740983,15.450993161185,1.11690831322881e-25,1.62286777912146e-22,44.5783054608145
"NLGN4Y",5.32593839806331,2.28280806481809,13.3793351602635,4.54492642056207e-22,6.09579515914771e-19,37.4300676373806
"TMSB4Y",3.72069967441953,1.52918689037078,9.76735158120249,2.8781448539315e-15,3.5845238337964e-12,23.4729132156425
"NCRNA00185",2.7629960465458,1.08421363851797,8.93100310121981,1.2451015252496e-13,1.44730601295014e-10,20.0424276661408
"FAM117A",-0.822743446612472,7.64036551765838,-4.88431346269817,5.26224375545603e-06,0.00573453013250821,3.87865317661804
"KDM6A",-0.805507577965804,8.70347996877396,-4.73683219572304,9.31699270030148e-06,0.0095559461601445,3.35427953061114
"CD300LG",-2.21016365593625,4.02462357336242,-4.71886493105726,9.9827475027794e-06,0.00966995474769231,3.29097864673285
"DPYSL2",-0.969721492653747,10.6270282805031,-4.65283285566608,1.28507139199859e-05,0.0117928972583618,3.05945894329953
"FABP5P3",0.774656255943932,0.995970138764119,4.6257240429815,1.42472702044287e-05,0.012420770164221,2.96492768973879
"SFSWAP",0.49432356640132,10.2888042705321,4.60176242947927,1.56036148541955e-05,0.0129554585046549,2.8816252796979
"RND2",-1.37217176987419,5.51126918837055,-4.5062801045073,2.23647418213852e-05,0.0177250744726215,2.55209465857169
"TEF",-0.849506753160242,9.67913863923415,-4.35037497845873,3.99179018989505e-05,0.0302612407613087,2.02260889711608
"FECH",-0.608590245543748,8.96357525410682,-4.33033372050175,4.29705524556437e-05,0.0312181063590251,1.95534179087115
"KIAA0100",-0.573091714877243,11.1590847647655,-4.29285379983554,4.92956802071229e-05,0.0343184922181454,1.83004265260001
"TMEM215",1.66774459439048,0.948881623077132,4.28261349516837,5.11746270745457e-05,0.0343184922181454,1.79592242668447
"MAFG",-0.649244381830579,9.04388624480134,-4.27009067550303,5.35664847887091e-05,0.0345920455102197,1.75426400919145
"ACLY",-0.813235738465716,11.2571848537671,-4.18395243051843,7.31970322661735e-05,0.0437186025329931,1.46974019768543
"RPRD1A",-0.529174500645642,10.0510536138653,-4.17802380173307,7.47774569027161e-05,0.0437186025329931,1.45028882123632
"GAS2L1",-0.618044776200485,9.65082060075693,-4.17638063377993,7.52212707037045e-05,0.0437186025329931,1.44490074250126
"CHFR",0.456382627168455,9.09041505080785,4.16066577771364,7.95959719068096e-05,0.0447688827795849,1.39343706483803
"GRID2IP",-1.87539662367692,2.58554299470795,-4.13105610956417,8.8513453331688e-05,0.0482287678841035,1.29679938249987
"CTNNB1",-0.796747198183699,12.8326628222832,-4.09257243981371,0.000101548802636886,0.0536546946295985,1.17184841871366
"PDE2A",-2.22963351320685,10.2550122058019,-4.06968173508833,0.000110158104583623,0.0546798611136693,1.09787698435303
"RRBP1",0.656368567122001,13.1049682854404,4.0634443218847,0.000112623046575255,0.0546798611136693,1.07776652862619
"CLN8",-0.684920113021192,8.78363780089627,-4.06275879829409,0.000112897166786654,0.0546798611136693,1.07555748639897
"NATD1",-0.615104799113029,8.14382163091666,-4.02284178680412,0.000130012614461687,0.0612675661014588,0.947340020205283
"RETSAT",-0.70776582167489,10.5155700641343,-4.00771194130004,0.000137129673701304,0.0629208681751564,0.898954284384469
"SEPT4",-1.32944396533056,9.60529299468347,-3.99788250233225,0.000141952205036864,0.0631711195788648,0.86758255544796
"N4BP3",-1.10225358223183,6.78351653407529,-3.98644910204029,0.000147766453918219,0.0631711195788648,0.831154411573738
"SCA10",-0.518675302467878,10.5112377035965,-3.98495263086392,0.000148544155926443,0.0631711195788648,0.82639149085264
"SRSF4",0.355062455464076,10.69335163262,3.95497557616964,0.000164975444183812,0.0684883772568797,0.731226904519546
"ARPC3",0.450111319330695,12.3324102542986,3.92864862510998,0.00018083064232581,0.0733247227812283,0.648037801327309
"HPD",-2.32334561378527,2.92721200003367,-3.91524724256904,0.000189452168417932,0.0744296359992508,0.605831852621384
"ACACA",-0.624010186284949,10.1871862197024,-3.91125902019173,0.000192093004127454,0.0744296359992508,0.593289819428056
"XRCC1",0.474310741069189,10.0479972734112,3.90283607521147,0.000197786618493613,0.0749697278272745,0.566829370354871
"ADGRE5",-1.43443242498229,9.44652687038683,-3.88976822246946,0.000206940908902316,0.0767706742046973,0.525851835320561
"SNRPB",0.497827108471105,12.1601875621405,3.87766298444197,0.000215781510904064,0.0783826338359012,0.487974223706416
"CDR2",0.584371374546443,8.96074677241159,3.86665225909648,0.000224135591508665,0.0797556770111242,0.453589615917106
"PDLIM2",-1.06771209568187,8.66283115255244,-3.82154725388607,0.000261699105067545,0.0903968517183744,0.313417804797573
