"logFC","AveExpr","t","P.Value","adj.P.Val","B"
"DDX3Y",9.07816458878671,4.68528681542661,108.519115626599,0,0,784.601586589821
"HY",8.91848614662759,4.46153800046588,97.7181755406473,0,0,738.032712352123
"EIF1AY",7.91215493720096,3.82434917292709,89.3870862923969,1.59154038424119e-316,1.07036395974834e-312,698.165245497553
"USP9Y",8.10922189093196,3.99216526027695,88.8856758592957,2.4408797823505e-315,1.23117976221759e-311,695.64381033702
"RPS4Y1",10.466994187028,5.61137995246059,87.2645173568635,1.8271746848524e-311,7.37301528831639e-308,687.39098386708
"UTY",7.56547714314786,3.68947459506462,86.395262317906,2.31789228655671e-309,7.79429912892802e-306,682.901519997384
"ZFY",7.30547083440054,3.75487904422347,84.7416830017601,2.61550312344305e-305,7.53862728836956e-302,674.234200766542
"CYorf15B",7.14847952308205,3.45813474842064,77.351981077765,2.5295635329248e-286,6.37955923003634e-283,633.341378193011
"TTTY15",6.63204134847973,3.18418443182622,74.0151840845738,3.04176975118705e-277,6.81897183332777e-274,613.629890042395
"PRKY",5.99411564601155,4.09036020901531,59.6408585001632,7.15812532946117e-234,1.44422336647209e-230,518.336759506519
"NLGN4Y",5.43718287173483,2.90268017938878,59.0805584927624,5.04740682312218e-232,9.25786182393756e-229,514.239767701192
"XIST",-9.8341624215328,7.71179451924252,-52.6824831230592,5.88725434578114e-210,9.89843697337336e-207,465.136392704385
"TMSB4Y",4.43076330127611,2.13929562608124,45.9797576666422,8.83707857044334e-185,1.37151459413281e-181,408.743301122257
"NCRNA00185",3.73028449942079,1.74819078278034,33.6552394937687,2.39767828983973e-132,3.45539694112903e-129,290.347925791467
"TSIX",-5.03554616397159,3.35799397601848,-31.1995502472559,6.11546469692744e-121,8.22570771501386e-118,264.463977731893
"BCORP1",2.49547732518939,1.1696412998929,29.4857955151626,8.21061768949948e-113,1.03535889064588e-109,245.998658854555
"FAM224B",2.76744408202374,1.28871208966935,20.0709336916822,1.10818881152135e-66,1.3152245565444e-63,140.949290400862
"TBL1Y",1.52165805330534,0.726371236086033,14.966041260473,2.49184604024321e-42,2.79308253933039e-39,85.4123608522297
"TTTY10",0.434950939667705,0.204466659208059,12.9954411016,1.30250010530486e-33,1.38311800655952e-30,65.5422304117451
"ZRSR2",-0.575343454350671,7.72288633747667,-12.5020383468228,1.60523817634532e-31,1.61936427229716e-28,60.780215954495
"ZFX",-0.522958405915831,8.93359841596132,-12.2436485217094,1.92125543618089e-30,1.84586903239932e-27,58.3254763602122
"KDM6A",-0.518431097607037,9.27743145573904,-10.7794928326678,1.41093086332933e-24,1.29395186811512e-21,44.9791935834982
"JPX",-0.424640989347285,7.89881130917882,-10.1925386490415,2.36053024626811e-22,2.07069818472632e-19,39.9264985804548
"PUDP",-0.641909180533453,8.96829026462359,-9.78359032792618,7.48901918852448e-21,6.29576879781958e-18,36.5173436988979
"HSFY2",0.59377264135711,0.275639137187053,9.26846775348089,5.08859529204642e-19,4.10669994449314e-16,32.3607219073077
"RPS4Y2",0.292966057510833,0.135999717219728,9.15935276878766,1.21879224625721e-18,9.45782783095596e-16,31.5007008888799
"KDM5C",-0.415455183980587,11.3168152323369,-8.96575708607751,5.63894613015787e-18,4.21375470822463e-15,29.992927229369
"ARSD",-0.718890725352812,11.2399741804767,-8.87950872370599,1.10750079970949e-17,7.98033433390668e-15,29.3287599461465
"STS",-0.833688510468599,9.52045442427579,-8.85112745326059,1.38155241802462e-17,9.61179365036717e-15,29.111235488255
"EIF1AX",-0.3930806787438,10.603938313488,-8.80007564157589,2.05371638310764e-17,1.38119272485266e-14,28.7212459698528
"PRO2325",-0.411062003937651,7.84556020876525,-8.47955870896806,2.38265156965378e-16,1.55072187320434e-13,26.3111879626925
"DAZ1",1.11355984776788,0.556277015470123,8.36540079871772,5.61380469125297e-16,3.539503857835e-13,25.4690583218622
"DDX3X",-0.318406003610659,12.4914134364511,-8.29445947601905,9.52101995961802e-16,5.82109390015919e-13,24.950104648321
"SRY",0.261970268991686,0.121610956591885,8.01451125344505,7.41081977476075e-15,4.39766764045803e-12,22.9354025525849
"PRY2",0.244175160076876,0.113350171022148,7.73309048859338,5.52719421371749e-14,3.18619058445611e-11,20.9645302467679
"TTTY2",0.467660646371375,0.221852506564947,7.67354614132477,8.3965760600786e-14,4.70581440522628e-11,20.5546499939028
"PNPLA4",-0.536782048596968,8.31339524595528,-7.55549693126032,1.90962309576759e-13,1.04131231297856e-10,19.7495035475303
"PCDH11Y",0.387863499384069,0.289950243620632,7.3518069685008,7.70245837085912e-13,4.08960000238036e-10,18.3838233879961
"RPS4X",-0.396814039383441,14.6135907106673,-6.95866251871318,1.04474952126016e-11,5.40483752331921e-09,15.8340233297737
"AMELY",0.291945394012759,0.135525908245769,6.64175983979651,7.86713885002535e-11,3.96818483595278e-08,13.8633571897963
